영업상태코드,영업상태명,상세영업상태명,전화번호,소재지우편번호,지번주소,도로명주소,도로명주소_검색용,도로명우편번호,사업장명,데이터갱신구분,데이터갱신일자,업태구분명,
1,영업/정상,영업,,121835,서울특별시 마포구 상암동 1597번지 사보이시티디엠씨 1층126호 ,서울특별시 마포구 월드컵북로54길 17 1층 126호 (상암동 사보이시티디엠씨),서울 마포구 월드컵북로54길,3924,삐삐포차,I,2018.8.31 23:59,한식,
1,영업/정상,영업,,121883,서울특별시 마포구 합정동 410-2번지 ,서울특별시 마포구 독막로 55 (합정동 1층 일부),서울 마포구 독막로,4048,삐친노가리 홍대점,U,2020.1.2 2:40,호프/통닭,
1,영업/정상,영업,23262824,121836,서울특별시 마포구 서교동 332-22번지 ,서울특별시 마포구 와우산로29바길 5 (서교동 1층),서울 마포구 와우산로29바길,4053,사계진미_불닭갈비 홍대점,I,2018.8.31 23:59,까페,
1,영업/정상,영업,,121887,서울특별시 마포구 합정동 427-3,서울특별시 마포구 월드컵로 53 지1층 (합정동),서울 마포구 월드컵로,4023,사는게꽃같네,I,2021.11.30 22:09,기타,
1,영업/정상,영업,27136369,121801,서울특별시 마포구 공덕동 111-276번지 ,서울특별시 마포구 만리재로 86-1 (공덕동),서울 마포구 만리재로,4185,사또양념치킨 공덕1분점,I,2018.8.31 23:59,분식,
1,영업/정상,영업,,121874,서울특별시 마포구 염리동 173-29번지 1층일부(102~103호) ,서울특별시 마포구 토정로37길 41 (염리동 1층일부),서울 마포구 토정로37길,4155,사람사는 고깃집 김일도 마포공덕점,U,2019.3.9 2:40,중국식,
1,영업/정상,영업,27074567149,121895,서울특별시 마포구 서교동 401-17,서울특별시 마포구 양화로6길 91 12층 (서교동),서울 마포구 양화로6길,4048,사람사는이야기442,U,2020.12.5 23:06,한식,
1,영업/정상,영업,23350038,121856,서울특별시 마포구 신수동 347번지 ,서울특별시 마포구 신수로 62 (신수동),서울 마포구 신수로,4088,사랑방,U,2020.4.25 2:40,한식,마포 사랑방' 검색시 3번으로 뜸
1,영업/정상,영업,,121836,서울특별시 마포구 서교동 328-11,서울특별시 마포구 와우산로29길 14-25 1층 우측호 (서교동),서울 마포구 와우산로29길,4052,사랑방,U,2021.12.1 0:09,한식,마포 사랑방' 검색시 2번으로 뜸
1,영업/정상,영업,23364479,121807,서울특별시 마포구 노고산동 54-2번지 ,서울특별시 마포구 신촌로12가길 36 (노고산동),서울 마포구 신촌로12가길,4057,사랑채,I,2018.8.31 23:59,한식,
1,영업/정상,영업,,121869,서울특별시 마포구 연남동 566-67,서울특별시 마포구 연남로 15 (연남동 1층 일부),서울 마포구 연남로,3990,사루카메,U,2020.12.7 23:02,한식,
1,영업/정상,영업,,121820,서울특별시 마포구 망원동 57-194번지 2층일부 ,서울특별시 마포구 월드컵로19길 74 (망원동 2층일부),서울 마포구 월드컵로19길,4014,사뭇,I,2018.8.31 23:59,기타,
1,영업/정상,영업,2231412046,121895,서울특별시 마포구 서교동 407-17,서울특별시 마포구 와우산로17길 22 (서교동),서울 마포구 와우산로17길,4049,사보타지,U,2020.12.1 22:00,분식,
1,영업/정상,영업,,121865,서울특별시 마포구 연남동 228-2번지 ,서울특별시 마포구 성미산로 190-4 지층 (연남동),서울 마포구 성미산로,3982,사심,I,2019.11.7 0:23,기타,
1,영업/정상,영업,,121836,서울특별시 마포구 서교동 326-10번지 2층 ,서울특별시 마포구 와우산로 159 2층 (서교동),서울 마포구 와우산로,4052,사운드카페 소리,I,2018.8.31 23:59,기타,
1,영업/정상,영업,,121873,서울특별시 마포구 염리동 157-22,서울특별시 마포구 백범로24길 11 1층 (염리동),서울 마포구 백범로24길,4149,사운드키친,I,2020.10.31 0:07,경양식,
1,영업/정상,영업,,121846,서울특별시 마포구 성산동 223-2번지,서울특별시 마포구 성미산로 89 1층 (성산동),서울 마포구 성미산로,3978,사월의물고기,I,2019.12.5 22:05,기타,
1,영업/정상,영업,23336009,121896,서울특별시 마포구 서교동 475-31번지 ,서울특별시 마포구 월드컵로14길 12 (서교동 1층),서울 마포구 월드컵로14길,4004,사이,I,2018.8.31 23:59,분식,
1,영업/정상,영업,,121838,서울특별시 마포구 서교동 354-5번지 RYSE,서울특별시 마포구 양화로 130 RYSE 15층 (서교동),서울 마포구 양화로,4038,사이드노트클럽,U,2019.12.6 0:04,기타,
1,영업/정상,영업,,121805,서울특별시 마포구 공덕동 477번지 공덕파크자이 102동 1920호,서울특별시 마포구 백범로 152 102동 1920호 (공덕동),서울 마포구 백범로,4148,사카나초밥,I,2018.8.31 23:59,일식,
1,영업/정상,영업,,121867,서울특별시 마포구 연남동 387-4 維豪-위호,서울특별시 마포구 동교로 266-8 維豪-위호 1층 102호 (연남동),서울 마포구 동교로,3982,사케바단단,I,2020.12.3 23:08,일식,
1,영업/정상,영업,,121779,서울특별시 마포구 도화동 555번지 마포 한화 오벨리스크 ,서울특별시 마포구 마포대로 33 지층 117호 (도화동 마포 한화 오벨리스크),서울 마포구 마포대로,4167,산고을,I,2019.12.15 0:23,기타,
